Clip,FilterID,fc,N,Window,E_0_150,E_0_200,E_0_250,E_250_1000,E_1000plus,Retention,Leakage
clip1_bass_drum,fc200_N500_hann,200,500,hann,0.0170993100125391,0.0192998306728862,0.0193959544143106,3.13295677630857e-05,1.97972877737225e-07,0.708351777026653,0.0391817756106315
clip1_bass_drum,fc200_N500_rectwin,200,500,rectwin,0.0307411380403802,0.0348547270218306,0.0349226596549478,7.21879526793154e-06,3.57967881149806e-07,1.27925515213862,0.0215631365681309
clip1_bass_drum,fc200_N50_blackman,200,50,blackman,0.0223026495352559,0.0268117442856839,0.0274432692511268,0.00191513087965993,1.16664702164882e-05,0.98405768588581,0.822135267284687
clip1_bass_drum,fc200_N50_hamming,200,50,hamming,0.0221230779311513,0.026557236534389,0.0271685263312416,0.00176040291635187,4.33031798409334e-06,0.974716618549398,0.763331426244706
clip1_bass_drum,fc200_N50_hann,200,50,hann,0.0222169140941437,0.0266901351385428,0.0273119161903394,0.00183725550950767,6.67019951891715e-06,0.979594327790078,0.792259584039874
clip1_bass_drum,fc200_N50_rectwin,200,50,rectwin,0.0215906242020199,0.0258045553232944,0.0263575345928499,0.00137616122646262,2.36148480556595e-06,0.947091346470588,0.619959409110439
clip1_bass_drum,fc250_N1000_blackman,250,1000,blackman,0.0225632445142098,0.0269804302797706,0.0273182547227598,0.000113063646715955,2.74606070755705e-07,0.978690971497063,0.0463906373841934
clip1_bass_drum,fc250_N1000_hamming,250,1000,hamming,0.0225326469086606,0.027120679054556,0.0275029954413475,9.06786788401444e-05,2.75901661743964e-07,0.985309405770575,0.0372287775026136
clip1_bass_drum,fc250_N1000_hann,250,1000,hann,0.0226783668169005,0.0273098514005778,0.027681353739628,9.6581692418068e-05,2.77700934059446e-07,0.991699186449838,0.0396456773876515
clip1_bass_drum,fc250_N1000_rectwin,250,1000,rectwin,0.0209572720047524,0.0250878481718084,0.0256020380578412,5.4187303407485e-05,2.58030456593625e-07,0.917206598789706,0.0222851680728399
clip1_bass_drum,fc250_N100_blackman,250,100,blackman,0.0214856171320562,0.0256580846997672,0.0262011933796668,0.00134221129746954,4.14088493522045e-07,0.938671656127598,0.549551176341338
clip1_bass_drum,fc250_N100_hamming,250,100,hamming,0.0209141146363633,0.0248572390522171,0.0253435102335956,0.00106622700769644,2.66980147580379e-07,0.907944702301892,0.436526815816825
clip1_bass_drum,fc250_N100_hann,250,100,hann,0.0211888581939849,0.0252411683520981,0.0257539128328586,0.0011836775380995,2.75488285109694e-07,0.922647593194955,0.484603975883944
clip1_bass_drum,fc250_N100_rectwin,250,100,rectwin,0.019248048224014,0.022543707337236,0.0228807491152234,0.000507119574180195,5.50407893146152e-07,0.819714978406069,0.207794558292999
clip1_bass_drum,fc250_N2000_blackman,250,2000,blackman,0.0226071417103962,0.0272434164129665,0.0277114425857438,6.30079827760818e-05,2.77530961531216e-07,0.992777135328165,0.0259035530556669
clip1_bass_drum,fc250_N2000_hamming,250,2000,hamming,0.0226355119254932,0.0272736147886526,0.0277889291831115,4.99000533335076e-05,2.78043096245288e-07,0.995553133796056,0.0205385565290639
clip1_bass_drum,fc250_N2000_hann,250,2000,hann,0.0226045429158947,0.0272453287412913,0.0277512698281901,5.34310616175256e-05,2.77750524426844e-07,0.99420396742258,0.021983713565573
clip1_bass_drum,fc250_N2000_rectwin,250,2000,rectwin,0.0229972164064512,0.0276055044441276,0.028243262795597,2.65972982600409e-05,2.8249572778753e-07,1.0118298765492,0.0110023325041852
clip1_bass_drum,fc250_N200_blackman,250,200,blackman,0.0193060735111004,0.022634471084253,0.0229836531443475,0.000573169603211931,2.36631730741159e-07,0.823401569854038,0.234701036676804
clip1_bass_drum,fc250_N200_hamming,250,200,hamming,0.0183647112142196,0.0213509563998324,0.021631997503901,0.00038424295659831,2.21703041394596e-07,0.774977789297665,0.157365353703655
clip1_bass_drum,fc250_N200_hann,250,200,hann,0.0186449671717741,0.0217304670499511,0.022030118823331,0.000429562796363581,2.2600402884005e-07,0.789240696823818,0.17591698007028
clip1_bass_drum,fc250_N200_rectwin,250,200,rectwin,0.0161777267862906,0.0184162234987867,0.0185681163242333,0.000116616340451736,1.93046443066232e-07,0.665212620229879,0.0478113747453453
clip1_bass_drum,fc250_N500_blackman,250,500,blackman,0.0199224732378068,0.0231830742348362,0.0234335152654768,0.000194981773683289,2.38054293713048e-07,0.839518119056612,0.0799055630552667
clip1_bass_drum,fc250_N500_hamming,250,500,hamming,0.0215546221827585,0.0252997720052915,0.0255755834245202,0.00016128970731984,2.58787831492911e-07,0.916258847513195,0.0661235623027357
clip1_bass_drum,fc250_N500_hann,250,500,hann,0.0214772268786953,0.0251174862820608,0.025384489735211,0.000170913974561043,2.57136110815456e-07,0.909412814692469,0.0700621938515992
clip1_bass_drum,fc250_N500_rectwin,250,500,rectwin,0.02251158772423,0.0275517202813651,0.0279381609156203,9.70236532315246e-05,2.89356783225393e-07,1.00089943980094,0.0398313815895666
clip1_bass_drum,fc250_N50_blackman,250,50,blackman,0.0223046776117683,0.0268146218062771,0.0274463780034485,0.00191701344798668,1.18136380631287e-05,0.983281056014581,0.789522641075081
clip1_bass_drum,fc250_N50_hamming,250,50,hamming,0.0221279478463124,0.0265641342536729,0.02717596899554,0.00176441712667983,4.46272907195576e-06,0.973593509817459,0.724037140056307
clip1_bass_drum,fc250_N50_hann,250,50,hann,0.0222198029603957,0.0266942312375176,0.0273163392777845,0.00183980859117188,6.79683877692621e-06,0.978622349664417,0.755857882329093
clip1_bass_drum,fc250_N50_rectwin,250,50,rectwin,0.0216021336056481,0.0258207951897948,0.0263750093277925,0.00138343282176323,2.21732954490488e-06,0.944898704702229,0.567160729327487
clip2_bass_guitar,fc150_N1000_blackman,150,1000,blackman,0.00453422866634012,0.00550552357710224,0.00550661229712626,2.39954075913868e-07,5.60970818499379e-08,0.644385440400799,0.0697421796736431
clip2_bass_guitar,fc150_N1000_hamming,150,1000,hamming,0.00506382072501511,0.0058393781844532,0.00583975417713119,2.38347792380563e-07,5.86048115590979e-08,0.719648828525753,0.0554126172989057
clip2_bass_guitar,fc150_N1000_hann,150,1000,hann,0.00499832017500546,0.00583710448712029,0.00583759104168877,2.43897206208328e-07,5.87728488569354e-08,0.710340166817138,0.0600170215055498
clip2_bass_guitar,fc150_N1000_rectwin,150,1000,rectwin,0.00581704298145917,0.00613083806701826,0.00613189704269648,8.18054057284103e-07,6.03399903793099e-08,0.826693596479672,0.0220226740021152
clip2_bass_guitar,fc150_N100_blackman,150,100,blackman,0.00667534693731246,0.0142180972161713,0.0146616889857433,0.00257531576560547,3.87530687358926e-07,0.948672132034364,0.770013968092426
clip2_bass_guitar,fc150_N100_hamming,150,100,hamming,0.00647794797340496,0.0134960607708528,0.0138803979947861,0.00193699610010174,1.9300255259562e-07,0.920618624447402,0.680486460360168
clip2_bass_guitar,fc150_N100_hann,150,100,hann,0.00657709088184323,0.0138551499340597,0.0142680872423629,0.00222422723136876,2.62459702208383e-07,0.934708396141288,0.72265630031523
clip2_bass_guitar,fc150_N100_rectwin,150,100,rectwin,0.00591224390770762,0.01149744881026,0.0117344651586109,0.000689079380856802,1.80624728955202e-06,0.840223150302703,0.473559319598393
clip2_bass_guitar,fc150_N2000_blackman,150,2000,blackman,0.00569620679631163,0.0061707376878524,0.00617089012313042,2.39008026154781e-07,6.07066121409367e-08,0.809520867860871,0.0334408359560705
clip2_bass_guitar,fc150_N2000_hamming,150,2000,hamming,0.00599882354415098,0.00633231965035128,0.00633246696226351,2.43848238919744e-07,6.19027853055558e-08,0.852527482806587,0.0231712462710075
clip2_bass_guitar,fc150_N2000_hann,150,2000,hann,0.00591682480255613,0.00628503432759602,0.00628518252485562,2.40336978165417e-07,6.14323063259381e-08,0.840874167743949,0.0256992552262198
clip2_bass_guitar,fc150_N2000_rectwin,150,2000,rectwin,0.00707655744653484,0.00719335496765505,0.00719389586268132,7.27383386268208e-07,7.17156858555521e-08,1.00569047621227,0.00748679565911583
clip2_bass_guitar,fc150_N200_blackman,150,200,blackman,0.00580497798921115,0.011182624325464,0.0114088876327517,0.000713641262013803,1.39700043401854e-07,0.824978970704205,0.459335925868169
clip2_bass_guitar,fc150_N200_hamming,150,200,hamming,0.00527840495767094,0.00951892444868241,0.00965827631502332,0.000286074735097509,1.126405762137e-07,0.750144633973211,0.338659703938188
clip2_bass_guitar,fc150_N200_hann,150,200,hann,0.00551235440818162,0.0102295161956437,0.0104010735352071,0.000406569494756183,1.22156593948439e-07,0.783392542447252,0.384598576267828
clip2_bass_guitar,fc150_N200_rectwin,150,200,rectwin,0.00389929239677543,0.00566328596037218,0.00567588150191144,3.58777453514947e-05,2.00931390487788e-07,0.554150977651453,0.130834078313709
clip2_bass_guitar,fc150_N500_blackman,150,500,blackman,0.00381847847714238,0.00554529395890644,0.00556406178657186,6.77996932746052e-06,5.89529990678445e-08,0.542666044485237,0.126529308169812
clip2_bass_guitar,fc150_N500_hamming,150,500,hamming,0.00373759410154551,0.00506185074515413,0.00506851896642625,9.57569352288674e-07,5.30331578834256e-08,0.531171098414817,0.0959624145583054
clip2_bass_guitar,fc150_N500_hann,150,500,hann,0.00360123813730035,0.00496937386390794,0.00497812014649933,1.43139212048799e-06,5.21027257434518e-08,0.511792764295132,0.0993761464632801
clip2_bass_guitar,fc150_N500_rectwin,150,500,rectwin,0.00547633292942948,0.00639200293786678,0.0063986438006788,1.29308124880219e-05,8.81085897958648e-08,0.778273321923174,0.0668955093568883
clip2_bass_guitar,fc150_N50_blackman,150,50,blackman,0.00694237553923344,0.0152227608434649,0.015755942118836,0.00377870593407523,3.71130497034965e-05,0.986621109889367,0.921492318256286
clip2_bass_guitar,fc150_N50_hamming,150,50,hamming,0.00688663351117559,0.0150101543225268,0.0155236211257255,0.00347871284644766,1.24127863399302e-05,0.978699288132662,0.88474976476504
clip2_bass_guitar,fc150_N50_hann,150,50,hann,0.00691588796175378,0.0151214591019346,0.0156451732188529,0.00362991807015613,2.03788364171985e-05,0.982856807174313,0.903179945766229
clip2_bass_guitar,fc150_N50_rectwin,150,50,rectwin,0.00672166975028819,0.0143865996975967,0.0148437432263644,0.00270775808782578,6.45711680750163e-06,0.955255334699364,0.7900971158325
clip2_bass_guitar,fc200_N1000_blackman,200,1000,blackman,0.00658973897500805,0.0112289339208921,0.0112562780564594,2.89111422180681e-06,1.18708297554251e-07,0.720495771645648,0.00545385973323872
